"FileName","FullPath","BaseName","UsageCount","Suggested"
"page.BACKUP-LAYOUT.tsx","C:\dev\justdefenders\frontend\_disabled\dashboard\page.BACKUP-LAYOUT.tsx","page.BACKUP-LAYOUT","0","ARCHIVE"
"page_backup.tsx","C:\dev\justdefenders\frontend\app\page_backup.tsx","page_backup","0","ARCHIVE"
"AutonomousInfiniteStrategicDefenceLattice.tsx","C:\dev\justdefenders\frontend\components\infinite-defence-lattice\AutonomousInfiniteStrategicDefenceLattice.tsx","AutonomousInfiniteStrategicDefenceLattice","0","ARCHIVE"
"ExpeditionMissionControlDashboard.tsx","C:\dev\justdefenders\frontend\components\parts-intelligence\ExpeditionMissionControlDashboard.tsx","ExpeditionMissionControlDashboard","0","ARCHIVE"
"TestRunSheetCard.tsx","C:\dev\justdefenders\frontend\components\pilot-readiness\TestRunSheetCard.tsx","TestRunSheetCard","0","ARCHIVE"
"mockPartsData.ts","C:\dev\justdefenders\frontend\lib\parts-intelligence\mockPartsData.ts","mockPartsData","0","ARCHIVE"
"index-legacy.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@babel\types\lib\index-legacy.d.ts","index-legacy.d","0","ARCHIVE"
"main-test.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@expo\code-signing-certificates\build\__tests__\main-test.d.ts","main-test.d","0","ARCHIVE"
"utils-test.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@expo\code-signing-certificates\build\__tests__\utils-test.d.ts","utils-test.d","0","ARCHIVE"
"AllowBackup.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@expo\config-plugins\build\android\AllowBackup.d.ts","AllowBackup.d","0","ARCHIVE"
"getWatchFolders.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@expo\metro-config\build\getWatchFolders.d.ts","getWatchFolders.d","0","ARCHIVE"
"createLegacyPlugin.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@expo\prebuild-config\build\plugins\unversioned\createLegacyPlugin.d.ts","createLegacyPlugin.d","0","ARCHIVE"
"withAndroidSplashLegacyMainActivity.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@expo\prebuild-config\build\plugins\unversioned\expo-splash-screen\withAndroidSplashLegacyMainActivity.d.ts","withAndroidSplashLegacyMainActivity.d","0","ARCHIVE"
"index-test.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@expo\sdk-runtime-versions\build\__tests__\index-test.d.ts","index-test.d","0","ARCHIVE"
"editTemplate.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@react-native-community\cli\build\commands\init\editTemplate.d.ts","editTemplate.d","0","ARCHIVE"
"TemplateAndVersionError.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@react-native-community\cli\build\commands\init\errors\TemplateAndVersionError.d.ts","TemplateAndVersionError.d","0","ARCHIVE"
"template.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@react-native-community\cli\build\commands\init\template.d.ts","template.d","2","REVIEW"
"copyFiles.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@react-native-community\cli\build\tools\copyFiles.d.ts","copyFiles.d","0","ARCHIVE"
"TestResult.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@react-native-community\cli-server-api\node_modules\@jest\types\build\TestResult.d.ts","TestResult.d","0","ARCHIVE"
"ReactTestComponent.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@react-native-community\cli-server-api\node_modules\pretty-format\build\plugins\ReactTestComponent.d.ts","ReactTestComponent.d","1","REVIEW"
"getLatestRelease.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@react-native-community\cli-tools\build\releaseChecker\getLatestRelease.d.ts","getLatestRelease.d","0","ARCHIVE"
"copy-prototype-methods.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@sinonjs\commons\types\prototypes\copy-prototype-methods.d.ts","copy-prototype-methods.d","0","ARCHIVE"
"test.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\@types\node\test.d.ts","test.d","13","REVIEW"
"legacy.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\expo-camera\legacy.d.ts","legacy.d","3","REVIEW"
"TestUtils.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\expo-modules-autolinking\e2e\TestUtils.ts","TestUtils","0","ARCHIVE"
"bytesToUuid.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\expo-modules-core\build\uuid\lib\bytesToUuid.d.ts","bytesToUuid.d","0","ARCHIVE"
"bytesToUuid.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\expo-modules-core\src\uuid\lib\bytesToUuid.ts","bytesToUuid","3","REVIEW"
"Object.getPrototypeOf.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\get-proto\Object.getPrototypeOf.d.ts","Object.getPrototypeOf.d","0","ARCHIVE"
"Reflect.getPrototypeOf.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\get-proto\Reflect.getPrototypeOf.d.ts","Reflect.getPrototypeOf.d","0","ARCHIVE"
"NoUnusedFragmentsRule.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\graphql\validation\rules\NoUnusedFragmentsRule.d.ts","NoUnusedFragmentsRule.d","0","ARCHIVE"
"NoUnusedVariablesRule.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\graphql\validation\rules\NoUnusedVariablesRule.d.ts","NoUnusedVariablesRule.d","0","ARCHIVE"
"tests.d.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\graphql-tag\lib\tests.d.ts","tests.d","2","REVIEW"
"tests.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\graphql-tag\src\tests.ts","tests","283","REVIEW"
"EventInterfaces.test.ts","C:\dev\justdefenders\frontend\mobile\expo\node_modules\hermes-profile-transformer\src\__test__\EventInterfaces.test.ts","EventInterfaces.test","0","ARCHIVE"
