"Candidate","Exists","ProductionCounterpart","CandidateSize","CounterpartSize","HashMatch","CandidateHash","CounterpartHash"
"C:\dev\justdefenders\frontend\middleware.ts.bak","True","C:\dev\justdefenders\frontend\middleware.ts.bak","2253","2253","True","938FC877F20A55082C54F84C52DF673BB3080FADBE8345085CF0EDD38B1BECD6","938FC877F20A55082C54F84C52DF673BB3080FADBE8345085CF0EDD38B1BECD6"
"C:\dev\justdefenders\frontend\tooling\common\Security\Foundation\Security-Foundation - 30072026.Copy.psm1","True","C:\dev\justdefenders\frontend\tooling\common\Security\Foundation\Security-Foundation - 30072026.Copy.psm1","24709","24709","True","DBD931A18DE3F08E84233496914CB4762C4E87D8C22444DD1EF0832FFC7B2F1F","DBD931A18DE3F08E84233496914CB4762C4E87D8C22444DD1EF0832FFC7B2F1F"
"C:\dev\justdefenders\frontend\tooling\common\Validation\Invoke-EngineeringValidation - 30072026.Copy.ps1","True","C:\dev\justdefenders\frontend\tooling\common\Validation\Invoke-EngineeringValidation - 30072026.Copy.ps1","10715","10715","True","666A0D87FE4435EF913DA51D29029D2E3BAB2FB2D850785405C8A04C87C2311B","666A0D87FE4435EF913DA51D29029D2E3BAB2FB2D850785405C8A04C87C2311B"
"C:\dev\justdefenders\frontend\tooling\common\Validation\Validation-Execution - 30072026.Copy.psm1","True","C:\dev\justdefenders\frontend\tooling\common\Validation\Validation-Execution - 30072026.Copy.psm1","15620","15620","True","A692ADC53E155C2417B009DBF81C4D401245809BABE39D0BFEB8B10FCBA0D659","A692ADC53E155C2417B009DBF81C4D401245809BABE39D0BFEB8B10FCBA0D659"
"C:\dev\justdefenders\frontend\tooling\engineering\Services\Operational-ServiceHost - 05082026.Copy.psm1","True","C:\dev\justdefenders\frontend\tooling\engineering\Services\Operational-ServiceHost - 05082026.Copy.psm1","5113","5113","True","3456F9C2800125A2748E66917B76C0F3788B751B5ED7E15893B3209D0EA2BB23","3456F9C2800125A2748E66917B76C0F3788B751B5ED7E15893B3209D0EA2BB23"
"C:\dev\justdefenders\frontend\tooling\engineering\Services\Private\Harvester-Runtime - 01072026.Copy.psm1","True","C:\dev\justdefenders\frontend\tooling\engineering\Services\Private\Harvester-Runtime - 01072026.Copy.psm1","3167","3167","True","48915BB293A08050A35E900E6C1F8576E8A08B1B6B22836E9AD68D64908B73E7","48915BB293A08050A35E900E6C1F8576E8A08B1B6B22836E9AD68D64908B73E7"
"C:\dev\justdefenders\frontend\tooling\engineering\Services\Private\Host-Scheduler.ps1.PR015.backup","True","C:\dev\justdefenders\frontend\tooling\engineering\Services\Private\Host-Scheduler.ps1.PR015.backup","8100","8100","True","1362EA88CC5BBEFD71634638322017DC19462DF7CBBE9F9662CE542AE02F9F64","1362EA88CC5BBEFD71634638322017DC19462DF7CBBE9F9662CE542AE02F9F64"
"C:\dev\justdefenders\frontend\tooling\engineering\Services\Public\Get-JDOperationalHostService - 31072026.Copy.ps1","True","C:\dev\justdefenders\frontend\tooling\engineering\Services\Public\Get-JDOperationalHostService - 31072026.Copy.ps1","5623","5623","True","B94FED5184A438AB0AA5496777C798F1235325226E0B2A2866C67360204EB868","B94FED5184A438AB0AA5496777C798F1235325226E0B2A2866C67360204EB868"
"C:\dev\justdefenders\frontend\tooling\engineering\Services\Public\Get-JDOperationalHostService.25072026.copy.ps1","True","C:\dev\justdefenders\frontend\tooling\engineering\Services\Public\Get-JDOperationalHostService.25072026.copy.ps1","5869","5869","True","2F5F2083DE627DAED176FD25F3B0DD7D9101CCB6806EC32282940883A280A7FC","2F5F2083DE627DAED176FD25F3B0DD7D9101CCB6806EC32282940883A280A7FC"
"C:\dev\justdefenders\frontend\tooling\engineering\Services\Public\Get-JDOperationalHostServices.25072026.copy.ps1","True","C:\dev\justdefenders\frontend\tooling\engineering\Services\Public\Get-JDOperationalHostServices.25072026.copy.ps1","6339","6339","True","9ECD52526E1B0918893280A2E32CD2E58E837CCF946BFAFE19B84F6094FADB1A","9ECD52526E1B0918893280A2E32CD2E58E837CCF946BFAFE19B84F6094FADB1A"
"C:\dev\justdefenders\frontend\tooling\engineering\Services\Public\Start-JDOperationalHost - 24072026.Copy.ps1","True","C:\dev\justdefenders\frontend\tooling\engineering\Services\Public\Start-JDOperationalHost - 24072026.Copy.ps1","7883","7883","True","AFCA1DA5FF7CBD91B894F20B62663B89563A29B748F438EDC9F530D4CC2AD585","AFCA1DA5FF7CBD91B894F20B62663B89563A29B748F438EDC9F530D4CC2AD585"
"C:\dev\justdefenders\frontend\tooling\engineering\Services\Tests\Operational-ServiceHost.Tests - 30072026.Copy.ps1","True","C:\dev\justdefenders\frontend\tooling\engineering\Services\Tests\Operational-ServiceHost.Tests - 30072026.Copy.ps1","3064","3064","True","59A204F0589B1EF19F61280D9F6D93E548CB4CDA510C458F01C4F5E45C09E055","59A204F0589B1EF19F61280D9F6D93E548CB4CDA510C458F01C4F5E45C09E055"
"C:\dev\justdefenders\frontend\tooling\engineering\Services\Tests\Platform-Runtime.Tests - 30072026.Copy.ps1","True","C:\dev\justdefenders\frontend\tooling\engineering\Services\Tests\Platform-Runtime.Tests - 30072026.Copy.ps1","1717","1717","True","B4C2E8616F21DA2C5383980447232283CF160933D62EEF8CB6A32E3A968BB732","B4C2E8616F21DA2C5383980447232283CF160933D62EEF8CB6A32E3A968BB732"
