DATE,SUPPLIER,DESCRIPTION,PARTS,LABOUR,ODOMETER,NOTES
2003-06-11,Graeme Cooper Automotive,"Replaced front shock absorbers; replaced serpentine drive belt","Shock absorbers; Serpentine belt",161.25,91355,"Preventative suspension and belt maintenance"
2003-07-10,Foxman Automotive,"Wheel alignment and steering tie rod replacement","Steering rod assembly",71.50,92757,"Steering repair and wheel alignment"
2003-09-18,Graeme Cooper Automotive,"100,000km service; brake pads replaced; wheel alignment","Brake pads; oil filters; fuel filter; air filter",703.13,96835,"Major scheduled service"
2004-08-05,Asquith & Johnstone,"120,000km service; clutch master cylinder refill; diagnostic work","Oil filter; fuel filter; air filter; clutch master cylinder",715.00,120858,"Major service and drivability diagnostics"
2005-06-06,Graeme Cooper Automotive,"120,000km service","Oil filter; fuel filter; air filter",518.40,124404,"Scheduled service"
2006-04-05,Graeme Cooper Automotive,"130,000km service; rear brake pads; radiator cover fastener","Rear brake pads; globes",540.00,128623,"Scheduled service and brake maintenance"
2006-07-17,Graeme Cooper Automotive,"Turbocharger replacement after overboost fault","Turbocharger assembly",302.40,130321,"Turbocharger/EGR overboost diagnosis"
2006-11-14,Graeme Cooper Automotive,"135,000km service; radiator insect screen; headlight switch","Oil filter; fuel filter; injector cleaner; light switch",259.20,131548,"Scheduled service"
2006-12-29,Graeme Cooper Automotive,"Horn switch repair; intermittent wiper repair; roof console fitted","Combination switch; roof console",280.80,132648,"Electrical repair and interior upgrade"
2007-01-29,Graeme Cooper Automotive,"Rear window rattle repair; steering protection bar fitted","Rear window seals; steering protection bar",432.00,136097,"Body/interior repair"
2007-11-16,Graeme Cooper Automotive,"Battery cable repair; top radiator hose replacement; tyres","Battery; radiator hose; Michelin tyres",266.00,140045,"Cooling and electrical maintenance"
2008-08-11,Graeme Cooper Automotive,"Fuel pressure regulator replacement; injector harness service","Fuel pressure regulator; fuel filter; injector cleaner",259.20,142998,"Common Td5 fuel system maintenance"
2008-12-22,Graeme Cooper Automotive,"Injector harness replacement due to oil contamination","Injector harness; rocker cover gasket",522.50,143816,"Common Td5 injector loom issue"
2009-11-04,Graeme Cooper Automotive,"150,000km service; fuel water trap sensor replacement","Fuel sensor; filters; globes",408.82,147262,"Scheduled service"
2013-05-13,Department of the Interior,"Radio console wiring and fitment","Console wiring modification",300.00,, "Interior touring modification"
2013-12-07,Brooks Tyre & Brake,"Tyre fitting and balancing","Tyre fitting and balancing",204.00,, "Tyre maintenance"
2016-11-07,DLS UK,"Defender screen bracket gasket set","Screen bracket gasket set",0,, "UK sourced parts"
2017-04-27,British4WD,"EGR removal and blanking kit","EGR blanking kit",0,, "Td5 reliability modification"
2024-04-18,Bridgestone Penrith,"BFG KO2 tyres fitted","235/85R16 BFG AT KO2",0,302436,"Touring tyre replacement"
DATE,SUPPLIER,DESCRIPTION,PARTS,LABOUR,ODOMETER,NOTES
2007-08-13,Graeme Cooper Automotive,"140,000km service; auxiliary battery replacement","Battery; oil filter; fuel filter; air filter",561.50,139576,"Scheduled service and touring electrical maintenance"
2010-02-17,Graeme Cooper Automotive,"General service and maintenance inspection","Filters; oils; service consumables",0,,"Service history continuation"
2011-05-09,Graeme Cooper Automotive,"Scheduled maintenance and inspection","Service consumables",0,,"Routine maintenance"
2012-12-07,Graeme Cooper Automotive,"160,000km service; gearbox overhaul; clutch replacement","Clutch kit; gearbox seals; push rod; filters",945.00,156031,"Major drivetrain overhaul"
2013-04-17,Graeme Cooper Automotive,"Scheduled maintenance","General service items",0,,"Service continuation"
2013-04-29,Graeme Cooper Automotive,"Vehicle repair and inspection","Service items",0,,"Workshop maintenance"
2013-05-08,Graeme Cooper Automotive,"Vehicle repair and service work","Service components",0,,"Workshop maintenance"
2013-06-03,Graeme Cooper Automotive,"Vehicle maintenance and inspection","General service items",0,,"Workshop maintenance"
2013-11-21,Graeme Cooper Automotive,"170,000km service; engine mounts; shock absorbers","Engine mounts; shock absorbers; filters",498.75,170359,"Suspension and drivetrain refinement"
2014-07-17,Graeme Cooper Automotive,"180,000km service; driveline and suspension repairs","Hub seals; diff pinion seal; bushes; exhaust flex joint",460.00,183160,"Major driveline wear maintenance"
2015-07-07,Graeme Cooper Automotive,"Vehicle maintenance and service","Service consumables",0,,"Service continuation"
2016-05-05,Graeme Cooper Automotive,"Vehicle maintenance and inspection","Service items",0,,"Workshop maintenance"
