DATE,SUPPLIER,DESCRIPTION,PARTS,LABOUR,ODOMETER,NOTES
2016-11-30,Graeme Cooper Automotive,"B service and drivetrain inspection","Oil filter; air filter; expansion tank cap; fuel additive",437.50,38339,"Front diff oil replaced; coolant cap replaced; breather extension fitted"
2017-01-12,Graeme Cooper Automotive,"Ignition switch replacement","Ignition switch; shear bolts",250.00,39990,"Ignition switch failure repaired"
2017-07-10,Graeme Cooper Automotive,"A service and electrical inspection","Oil filter; wiper blade; globe",281.25,48703,"Door lock and heater fan intermittent issues investigated"
2017-07-17,Graeme Cooper Automotive,"Heater blower motor replacement","Blower motor; wheel bearing lock tabs; hub seals",156.25,49069,"Heater fan replaced"
2018-01-08,Graeme Cooper Automotive,"B service and viscous fan replacement","Viscous fan; fan adaptor; oil filter; air filter",520.00,56627,"Cooling system maintenance and clutch pedal lubrication"
2018-05-17,Graeme Cooper Automotive,"A service and transfer case repair","Transfer case output shaft coupling; gearbox/trans oil seal",1332.50,63307,"Loss of drive caused by failed output shaft spline coupling"
DATE,SUPPLIER,DESCRIPTION,PARTS,LABOUR,ODOMETER,NOTES
2018-11-08,Graeme Cooper Automotive,"B service and hydraulic system maintenance","Fuel filter; brake fluid; intercooler hose kit; sway bar bushes",981.50,70981,"Brake and clutch systems flushed; dash cam installed; intercooler hose deterioration identified"
2019-05-06,Graeme Cooper Automotive,"A service and front brake replacement","Front brake pads; intercooler hoses; oil filter",742.00,79454,"Front brake maintenance; bonnet latch lubricated; clutch pedal lubrication; intercooler hoses fitted"
2019-05-06,Graeme Cooper Automotive,"Expansion tank cap purchase","Expansion tank cap",0,79454,"Cooling system consumable purchase"
